Date : 2020-05-15 18:50:10
Directory : /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum
Total : 73 files,  17916 codes, 4 comments, 562 blanks, all 18482 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/_app.js                         | JavaScript |         30 |          4 |          9 |         43 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/api/build-checkout.js           | JavaScript |         18 |          0 |          3 |         21 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/api/sendMail.js                 | JavaScript |         42 |          0 |          6 |         48 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/cart.js                         | JavaScript |         44 |          0 |          4 |         48 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/checkout-cancel.js              | JavaScript |         18 |          0 |          4 |         22 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/checkout-success.js             | JavaScript |         21 |          0 |          3 |         24 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/contact.js                      | JavaScript |         25 |          0 |          5 |         30 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/index.js                        | JavaScript |         41 |          0 |          5 |         46 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/movement.js                     | JavaScript |         60 |          0 |          6 |         66 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/order.js                        | JavaScript |         37 |          0 |          4 |         41 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/sanitation.js                   | JavaScript |         77 |          0 |          5 |         82 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/pages/story.js                        | JavaScript |         29 |          0 |          5 |         34 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/public/zeit.svg                       | XML        |         10 |          0 |          1 |         11 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/redux/actions/orderActions.js         | JavaScript |         20 |          0 |          3 |         23 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/redux/reducers/orderReducer.js        | JavaScript |         27 |          0 |          4 |         31 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/redux/reducers/rootReducer.js         | JavaScript |          6 |          0 |          2 |          8 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/redux/store.js                        | JavaScript |         12 |          0 |          4 |         16 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/cart/confirm_cart.scss         | SCSS       |         22 |          0 |          4 |         26 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/cart_banner.scss               | SCSS       |         15 |          0 |          2 |         17 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/checkout_success.scss          | SCSS       |         15 |          0 |          3 |         18 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/contact_form.scss              | SCSS       |        154 |          0 |         28 |        182 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/custom_request.scss            | SCSS       |         89 |          0 |         21 |        110 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/delivery_form.scss             | SCSS       |        183 |          0 |         36 |        219 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/drop_down_menu.scss            | SCSS       |         36 |          0 |          7 |         43 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/footer.scss                    | SCSS       |         44 |          0 |          9 |         53 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/global.scss                    | SCSS       |         33 |          0 |          5 |         38 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/anything_section.scss    | SCSS       |         20 |          0 |          3 |         23 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/coffee_section.scss      | SCSS       |         31 |          0 |          6 |         37 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/gift_section.scss        | SCSS       |         31 |          0 |          5 |         36 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/partner_section.scss     | SCSS       |        125 |          0 |         35 |        160 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/sanitation_section.scss  | SCSS       |         20 |          0 |          4 |         24 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/top_section.scss         | SCSS       |         54 |          0 |         13 |         67 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/movement.scss                  | SCSS       |         58 |          0 |         14 |         72 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/nav_bar.scss                   | SCSS       |         39 |          0 |         11 |         50 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/local_partners.scss      | SCSS       |         78 |          0 |         19 |         97 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/order_instructions.scss  | SCSS       |         41 |          0 |          9 |         50 |
