"filename", "language", "JSON", "Markdown", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/public/zeit.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/redux/actions/orderActions.js", "JavaScript", 0, 0, 20, 0, 0, 0, 3, 23
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/redux/reducers/orderReducer.js", "JavaScript", 0, 0, 27, 0, 0, 0, 4, 31
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/redux/reducers/rootReducer.js", "JavaScript", 0, 0, 6, 0, 0, 0, 2, 8
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/redux/store.js", "JavaScript", 0, 0, 12, 0, 0, 0, 4, 16
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/cart/confirm_cart.scss", "SCSS", 0, 0, 0, 22, 0, 0, 4, 26
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/cart_banner.scss", "SCSS", 0, 0, 0, 15, 0, 0, 2, 17
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/checkout_success.scss", "SCSS", 0, 0, 0, 15, 0, 0, 3, 18
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/contact_form.scss", "SCSS", 0, 0, 0, 154, 0, 0, 28, 182
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/custom_request.scss", "SCSS", 0, 0, 0, 89, 0, 0, 21, 110
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/delivery_form.scss", "SCSS", 0, 0, 0, 183, 0, 0, 36, 219
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/drop_down_menu.scss", "SCSS", 0, 0, 0, 36, 0, 0, 7, 43
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/footer.scss", "SCSS", 0, 0, 0, 44, 0, 0, 9, 53
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/global.scss", "SCSS", 0, 0, 0, 33, 0, 0, 5, 38
